Alice Ott MS;6-8;(503) 256-6510;james_johnston@ddouglas.k12.or.us;12500 SE Ramona St;Portland;OR;97236;David Douglas School District 40;0;0;0
Floyd Light MS;6-8;(503)-256-6511;mark_gaulke@ddoughlas.k12.or.us;10800 SE Washington St;Portland;OR;97216;David Douglas School District 40;0;0;0
Fir Ridge Campus;9-12;(503) 256-6530;;11215 SE Market St;Portland;OR;97216;David Douglas School District 40;1;1;0
David Douglas HS;9-12;(503) 261-8300;john_bier@ddouglas.k12.or.us;1001 SE 135th Ave;Portland;OR;97233;David Douglas School District 40;0;0;0
Riverdale Elementary;K-8;(503)262-4842;jpatterson@riverdale.k12.or.us;11733 SW Breyman AV;Portland;OR;97219-8409;Riverdale School District 51J;0;0;0
Transitions Center;9-12;(503) 760-7990;;18135 SE Brooklyn;Portland;OR;97236;Centennial SD 28J;1;1;0
Reynolds Learning Academy East;9-12;503-912-1576;;2408 SW Halsey St. #J;Troutdale;OR;97060;Reynolds School District 7;1;1;0
North Powellhurst;K;503-261-8470;kate_barker@ddouglas.k12.or.us;1400 SE 135th Ave;Portland;OR;97233;David Douglas School District 40;0;0;0
Reynolds Knova Learning K-6; ;503 907-1023;dtiede@knovalearning.com;18201 SE Stark St.;Portland;Or;97292-0596;Reynolds School District 7;0;1;1
Reynolds Multisensory Learning Academy; ;503 405-7868;sfitzsimmons@mla.k12.or.us;22565 NE  Halsey St;Fairview;OR;97024;Reynolds School District 7;0;1;1
Gresham High School;9-12;(503) 674-5500;john_koch@gresham.k12.or.us;1200 N Main St;Gresham;OR;97030;Gresham-Barlow SD 10J;0;0;0
Hall;K-5;(503) 661-6330;carlynn_capps@gresham.k12.or.us;2505 NE 23 St;Gresham;OR;97030-3146;Gresham-Barlow SD 10J;0;0;0
Deep Creek;K-5;(503) 658-3184;lori_walter@gresham.k12.or.us;15600 SE 232 Dr;Damascus;OR;97089;Gresham-Barlow SD 10J;0;0;0
Damascus;5-8;(503) 658-3171;lori_walter@gresham.k12.or.us;14151 SE 242nd;Boring;OR;97009;Gresham-Barlow SD 10J;0;0;0
Hollydale;K-5;(503) 661-6226;luckenbaugh@gresham.k12.or.u;505 SW Birdsdale Dr;Gresham;OR;97080-6799;Gresham-Barlow SD 10J;0;0;0
Clear Creek;6-8;(503) 492-6700;atherton@gresham.k12.or.us;219 NE 219 AV;Gresham;OR;97030;Gresham-Barlow SD 10J;0;0;0
Gordan Russell;6-8;(503) 667-6900;schmidt3t@gresham.k12.or.us;3625 E Powell Valley Road;Gresham;OR;97080;Gresham-Barlow SD 10J;0;0;0
Powell Valley;K-5;(503) 661-1510;cook9@gresham.k12.or.us;4825 SE Powell Valley Road;Gresham;OR;97080;Gresham-Barlow SD 10J;0;0;0
East Gresham;K-5;(503) 661-6050;klinger@gresham.k12.or.us;900 SE 5th St;Gresham;OR;97080-8199;Gresham-Barlow SD 10J;0;0;0
West Gresham;K-5;(503) 661-0144;todd_graves@gbsd.gresham.k12.or.us;330 W Powell Blvd;Gresham;OR;97030-7051;Gresham-Barlow SD 10J;0;0;0
Highland;K-5;(503) 665-7158;kadrmas@gresham.k12.or.us;295 NE 24 St;Gresham;OR;97030-2753;Gresham-Barlow SD 10J;0;0;0
Hogan Cedars;K-5;(503) 261-4500;.james@gresham.k12.or.us;1770 SE Fleming AV;Gresham;OR;97080-8199;Gresham-Barlow SD 10J;0;0;0
East Orient;K-5;(503) 663-4818;paulson@gresham.k12.or.us;7431 SE 302nd;Gresham;OR;97080-8199;Gresham-Barlow SD 10J;0;0;0
West Orient;6-8;(503) 663-3323;cantanese@gresham.k12.or.us;29805 SE Orient Drive;Gresham;OR;97080;Gresham-Barlow SD 10J;0;0;0
Sam Barlow;9-12;(503) 258-4850;lovelin@gresham.k12.or.us;5105 SE 302 AV;Gresham;OR;97080;Gresham-Barlow SD 10J;0;0;0
Dexter McCarty;6-8;(503)665-0148;garrison2@gresham.k12.or.us;1400 SE 5 ST;Gresham;OR;97080;Gresham-Barlow SD 10J;0;0;0
Springwater Trail;9-12;(503) 261-4600;terrence_smyth@gresham.k12.or.us;1440 SE Fleming Avenue;Gresham;OR;97080;Gresham-Barlow SD 10J;0;0;0
Kelly Creek;K-5;(503) 663-7483;torbet2@gresham.k12.or.us;2400 SE Baker Way;Gresham;OR;97080-9003;Gresham-Barlow SD 10J;0;0;0
North Gresham;K-5;(503) 661-6415;klansnic@gresham.k12.or.us;1001 SE 217 AV;Gresham;OR;97030;Gresham-Barlow SD 10J;0;0;0
